slang,normalized,notes
tapau,takeaway,To pack food to go.
bungkus,takeaway,To pack food to go.
sedap,delicious,Used to describe some food as delicious and good tasting.
syok,delicious,Used to describe some food as delicious and good tasting.
enak,delicious,Used to describe some food as delicious and good tasting.
murah,cheap,"Used to describe something priced low,inexpensive or affordable."
mahal,expensive,"Used to describe something that costs a lot, costly,high-priced."
berbaloi,worth it,Means something gives good value for the price or effort spent.
berbaloii,worth it,Means something gives good value for the price or effort spent.
layan,worth it,Means something gives good value for the price or effort spent.
la,lah,Sentence-ending particle used to soften tone or add friendliness.
lo,lor,Casual particle showing resignation or certainty.
le,leh,Particle implying uncertainty or persuasion.
mahh,mah,Particle expressing obviousness or mild correction.
mehh,meh,Used in questions to express doubt or surprise.
liao,already,"Used to indicate completion or change of state (e.g., 'finish liao')."
horr,hor,Used to seek agreement or confirmation.
ahh,ah,Used for emphasis or as a soft question marker.
aiya,oh no,Exclamation of frustration or disappointment.
walao,oh my god,Exclamation of disbelief or surprise.
alamak,oh no,Malay exclamation expressing surprise or frustration.
syiok,delicious,Expression of pleasure or enjoyment.
tapao,takeaway,To pack food to go.
lepak,hang out,To relax or chill with friends.
bojio,didn't invite,To exclude someone from an outing (Hokkien slang).
kena,got / to be affected by,To experience or suffer something (often negative).
makan,eat,Malay word for 'eat'; common in Malaysian English.
belanja,treat,To pay for someone’s meal or expense.
potong stim,kill the mood,To ruin excitement or fun.
steady,cool / reliable,Used to describe someone dependable or impressive.
blur,confused,Used to describe someone slow to understand.
chope,reserve,To reserve a seat or place (from Malay 'chup').
sien,bored,Feeling bored or tired of something.
paiseh,embarrassed,Feeling shy or embarrassed (Hokkien).
atas,high-class,Describes something fancy or pretentious.
bodek,flatter,To curry favor with someone for advantage.
chiong,rush/charge,To go all out or rush (Hokkien).
cheem,deep/profound,Used to describe something difficult to understand.
gan jiong,nervous,Feeling anxious or impatient (Hokkien).
pek chek,frustrated,Feeling irritated or annoyed (Hokkien).
bo chap,don't care,Having an indifferent attitude (Hokkien).
kiasu,afraid to lose out,Overly competitive attitude (Hokkien).
kiam siap,stingy,Unwilling to spend money (Hokkien).
abuden,obviously,Sarcastic remark meaning 'duh' or 'what else?'.
jialat,terrible,Bad or troublesome (Hokkien).
kan cheong,nervous,Easily anxious or panicky (Cantonese).
heng,lucky,Feeling fortunate (Hokkien).
sabo,sabotage,To prank or set someone up (from 'sabotage').
sap sap sui,easy peasy,Something easy to accomplish (Cantonese).
yalah,agree,Casual agreement or acknowledgment.
walao eh,oh my god,"Stronger form of 'walao', expressing disbelief."
buey tahan,cannot stand it,Unable to tolerate something (Hokkien).
song ah,pleased/satisfied,Feeling good or satisfied (Hokkien).
heng ah,lucky,Expression of relief or gratitude for luck.
teruk,terrible,Bad or severe (Malay).
macam,similar to,Used to compare or describe resemblance (Malay).
boh,don't have,Means 'don’t have' or 'none' (Hokkien).
alamak sia,oh no man,Malay-influenced slang showing frustration or shock.
gostan,reverse,"To move backwards, often referring to vehicles."
jalan,walk,Malay word for walk or to go.
panggang,grill,Malay word meaning 'to grill'.
shiok sendiri,self-satisfied,Describes someone enjoying their own actions excessively.
confirm plus chop,definitely,Strong affirmation (Singlish).
aiyo,oh dear,Expression of sympathy or mild surprise.
pek chek,frustrated,Feeling annoyed or irritated (Hokkien).
tabao,takeaway,Alternate spelling of 'tapao'.
hengz,lucky,Playful form of 'heng' used online.
yala,agree,Casual agreement or acknowledgment.
dabao,takeaway,To pack food to go.
dapao,takeaway,To pack food to go.
okk,okay,Means okay.
btw,by the way
pls,please
idk,i do not know
imo,in my opinion
asap,as soon as possible
thx,thanks
tq,thanks
stalls,stall
lol,laugh out loud
omg,oh my god
gr8,great
KL,Kuala Lumpur
hv,have
kaw kaw,thick
"hokien ",hokkien
cos,because
cus,because
cuz,because
shiok,delicious
sup,soup
so-so,normal
so so,normal
So-So,normal
aka,as known as
a. k. a,as known as
a. k. a.,as known as